evaluation_role,dataset,holdout,method,method_group,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_configs,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.998925701254276,0.9914180515534508,0.9816345123565375,0.9744583808437856,0.9685290763968073,0.0010198713694411392,0.9680729760547321,0.9703534777651083,0.0054199999999999995,0.0057,1.0,1.9470669667280993,32,2,beta_0.50;beta_0.75;beta_1.00,4.7820003237575294e-05,0.09745191998081282,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F0_V1_baseline,baseline,heldout_47_51,5,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.979020979020979,0.0,0.9790209790209791,0.9790209790209791,0.0019,0.0019,1.0,-2.3665623121180643,32,100,none,1.116756300011184,0.0329077799920924,101.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F0_V1_baseline,baseline,main_42_46,5,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.979020979020979,0.0,0.9790209790209791,0.9790209790209791,0.0019,0.0019,1.0,-2.3665623121180643,32,100,none,1.0427909600082785,0.030217799986712635,101.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9826834165834166,0.9750582019196734,0.9841615670761399,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0045,0.0045,1.0,-4.118561382207412,32,64,none,0.36346268000779675,0.0225839999737218,65.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F1_V2_top64_baseline,baseline,main_42_46,5,0.9826834165834166,0.9750582019196734,0.9841615670761399,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0045,0.0045,1.0,-4.118561382207412,32,64,none,0.32444260000484065,0.02037230000132695,65.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.98431988011988,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0035000000000000005,0.0035,1.0,1.857977632703146,32,2,alpha_0.90,0.00013627998996526002,0.11272040000185371,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.9858463536463538,0.9782089100085077,0.9849547437487136,0.9710289710289711,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.00296,0.0035,1.0,1.7966201033743172,32,2,alpha_0.50;alpha_0.90,0.00010409998940303921,0.10288994000293314,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.9992837362637363,0.9949868048226204,0.9841685952238717,0.9868131868131869,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0054800000000000005,0.0066,1.0,-4.339711894512311,32,5,residual_C_0.1;residual_C_1.0,0.025108499999623744,0.11046692001400515,6.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9995252747252747,0.9957875868252554,0.9846384771007888,0.991008991008991,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0052,0.0052,1.0,-4.645508729211221,32,5,residual_C_1.0,0.02338897999143228,0.10055795999942348,6.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9986952047952048,0.9911902002974162,0.982890476357813,0.9742257742257742,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.00544,0.0057,1.0,1.9554021961189494,32,2,beta_0.50;beta_0.75;beta_1.00,5.2440003491938116e-05,0.10666975999483838,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9989637562437563,0.9925678647218301,0.9825159764858258,0.9742257742257742,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0055,0.0057,1.0,1.9554021961189494,32,2,beta_0.50;beta_0.75;beta_1.00,6.322000408545136e-05,0.09980366000672802,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F0_V1_baseline,baseline,heldout_47_51,5,0.9995863277826468,0.9929562665632116,0.9792124513892864,1.0,0.9973707274320771,0.0,0.9973707274320771,0.9973707274320771,0.002,0.002,1.0,-2.3126683191097466,32,100,none,1.0799363799858839,0.03710283999098465,101.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F0_V1_baseline,baseline,main_42_46,5,0.9995863277826468,0.9929562665632116,0.9792124513892864,1.0,0.9973707274320771,0.0,0.9973707274320771,0.9973707274320771,0.002,0.002,1.0,-2.3126683191097466,32,100,none,1.0080717800068668,0.03620556000387296,101.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9819418054338301,0.9804776193977849,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0041,0.0041,1.0,-4.067457114802276,32,64,none,0.4183821599930525,0.024478399998042733,65.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F1_V2_top64_baseline,baseline,main_42_46,5,0.9819418054338301,0.9804776193977849,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0041,0.0041,1.0,-4.067457114802276,32,64,none,0.44759441999485716,0.023901420005131513,65.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.9830940403155127,0.9809445435972591,0.9885976772556913,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.003,0.003,1.0,1.7748515236834166,32,2,alpha_0.90,7.745999610051513e-05,0.11094555999152363,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.9841780192813323,0.981322120702869,0.9886760709771469,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.00266,0.003,1.0,1.731045903518627,32,2,alpha_0.60;alpha_0.90,8.351998403668403e-05,0.11480738000245765,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.9995313759859773,0.9957662215742781,0.9845722917831929,0.992988606485539,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0046,0.0046,1.0,-4.529482117882033,32,5,residual_C_1.0,0.023589600005652755,0.11035277999471874,6.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9995313759859773,0.9957662215742781,0.9845722917831929,0.992988606485539,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0046,0.0046,1.0,-4.529482117882033,32,5,residual_C_1.0,0.02406689999625087,0.12262890000129119,6.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9987706047326906,0.9923680770481109,0.9859930678810354,0.9810692375109553,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.00492,0.005,1.0,1.8961635884652004,32,2,beta_0.50;beta_1.00,5.433998303487897e-05,0.11478268001228571,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9991811744084137,0.9937585064224017,0.9842366961890964,0.9840490797546012,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.00498,0.0051,1.0,1.9048297642626941,32,2,beta_0.50;beta_0.75;beta_1.00,6.214001914486288e-05,0.11481333997799084,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F0_V1_baseline,baseline,heldout_47_51,5,0.9788201877934272,0.8354472517504575,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0,0.8356807511737089,0.8356807511737089,0.0053,0.0053,1.0,-3.022682424935188,32,100,none,0.910725960007403,0.03273876000894234,101.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F0_V1_baseline,baseline,main_42_46,5,0.9788201877934272,0.8354472517504575,0.8670700922452639,0.8661971830985916,0.8356807511737088,0.0,0.8356807511737089,0.8356807511737089,0.0053,0.0053,1.0,-3.022682424935188,32,100,none,0.9370143400039523,0.0369217999977991,101.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.964706103286385,0.9108114779702291,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.0042,0.0042,1.0,-4.423520833673828,32,64,none,0.3734402399742976,0.02503874000394717,65.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F1_V2_top64_baseline,baseline,main_42_46,5,0.964706103286385,0.9108114779702291,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.0042,0.0042,1.0,-4.423520833673828,32,64,none,0.36904716001590715,0.02179143999237567,65.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.9700928169014086,0.9205199057280558,0.9426946941279166,0.895774647887324,0.887793427230047,0.0010497971725350842,0.8873239436619719,0.8896713615023474,0.00252,0.0026,1.0,1.7866342136160853,32,2,alpha_0.50;alpha_0.90,8.02400172688067e-05,0.10580070001306012,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.9700928169014086,0.9205199057280558,0.9426946941279166,0.895774647887324,0.887793427230047,0.0010497971725350764,0.8873239436619719,0.8896713615023474,0.00252,0.0026,1.0,1.7866342136160853,32,2,alpha_0.50;alpha_0.90,6.618000334128738e-05,0.10671968000242486,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.9833612676056337,0.9004190928252103,0.9240333121004081,0.892018779342723,0.8873239436619718,0.0,0.8873239436619719,0.8873239436619719,0.0046,0.0046,1.0,-4.829325964680313,32,5,residual_C_1.0,0.0248363200109452,0.10987994000315666,6.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9828549765258214,0.9013887947200449,0.9241371175124448,0.892018779342723,0.8873239436619718,0.0,0.8873239436619719,0.8873239436619719,0.00464,0.0048,1.0,-4.51502711297093,32,5,residual_C_0.1;residual_C_1.0,0.023210359993390738,0.10967688001692295,6.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9829457276995305,0.8960237030527392,0.9191379432373135,0.8896713615023474,0.8873239436619718,0.0,0.8873239436619719,0.8873239436619719,0.00606,0.0065,1.0,1.9951442211164463,32,2,beta_0.50;beta_0.75;beta_1.00,7.759998552501202e-05,0.11097355998354033,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9816127699530515,0.9044832178065298,0.9247056880647369,0.8896713615023474,0.8873239436619718,0.0,0.8873239436619719,0.8873239436619719,0.0057799999999999995,0.0065,1.0,1.9912566099047369,32,2,beta_0.50;beta_0.75;beta_1.00,5.735998274758458e-05,0.1095819600042887,0.0,1.0
