weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
medium_mass_ratio_recalibrated,same_file_query,Mirai UDP Flooding,city-power,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Mirai UDP Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai GRE Flooding,building-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai GRE Flooding,combined-cycle,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai GRE Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai TCP Flooding,building-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai TCP Flooding,combined-cycle,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai TCP Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai UDP Flooding,building-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai UDP Flooding,combined-cycle,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Mirai UDP Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Telnet Brute Force,ip-camera-museum,unseen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai GRE Flooding,city-power,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai GRE Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai TCP Flooding,city-power,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai TCP Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai UDP Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai GRE Flooding,building-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai GRE Flooding,combined-cycle,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai GRE Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai TCP Flooding,building-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai TCP Flooding,combined-cycle,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai TCP Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,future_query,Mirai UDP Flooding,domotic-monitor,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Merlin UDP Flooding,building-monitor,seen_in_support,5000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Merlin UDP Flooding,combined-cycle,seen_in_support,5000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,future_query,Merlin UDP Flooding,domotic-monitor,seen_in_support,5000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Merlin UDP Flooding,ip-camera-street,seen_in_support,4996.0,1.0,1.0,0.9998206696579219,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin UDP Flooding,ip-camera-museum,seen_in_support,3292.0,1.0,1.0,0.9998206696579217,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin UDP Flooding,ip-camera-museum,seen_in_support,3292.0,1.0,1.0,0.9998206696579217,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin UDP Flooding,city-power,seen_in_support,3250.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin UDP Flooding,city-power,seen_in_support,3250.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,File Download,ip-camera-street,seen_in_support,1231.0,1.0,1.0,0.999820669657922,0.9998206696579218
