candidate,variant,kind,env_field,adv_lambda,split,seed,role,phase,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,conflict_score_mean
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,ood_stress,select,79950,0.8869431614875793,0.007217010631644778,0.0,0.007217010631644778,0,577,0.008040902859927168,0.9914812198855433
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,support_val,select,69,0.8869431614875793,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9890000664669535,0.009977659978678924
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,same_file_query,select,67749,0.8869431614875793,0.9727228446176327,0.0,0.9727228446176327,0,65901,0.9806373630496906,0.019090874924712016
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,future_query,select,228649,0.8869431614875793,0.9359498620155785,0.0,0.9359498620155785,0,214004,0.9726125513091478,0.022462527261714372
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,sealed_final_ood,all,154900,0.8869431614875793,0.004622336991607488,0.0,0.004622336991607488,0,716,0.004945821818212254,0.9949320532794661
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,sealed_final_attack,all,110104,0.8869431614875793,0.721090968538836,0.0,0.721090968538836,0,79395,0.7315472507316931,0.2683801548902803
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,id_calib,select,51497,0.6963292813301086,0.010000582558207275,0.0,0.010000582558207275,0,515,0.06482339428676286,0.8956977526708103
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,ood_val,select,12205,0.6963292813301086,0.0012290045063498567,0.0,0.0012290045063498567,0,15,0.018543744566985165,0.9527638136894915
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,ood_stress,select,79950,0.6963292813301086,0.008317698561601,0.0,0.008317698561601,0,665,0.010795162933684356,0.9887566113069555
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,support_val,select,69,0.6963292813301086,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9868007967437523,0.009694657586551803
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,same_file_query,select,67749,0.6963292813301086,0.998568244549735,0.0,0.998568244549735,0,67652,0.9954476469620548,0.0025564343184424428
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,future_query,select,228649,0.6963292813301086,0.9037782802461415,0.0,0.9037782802461415,0,206648,0.9257582842183748,0.047330116758188524
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,sealed_final_ood,all,154900,0.6963292813301086,0.0046094254357650095,0.0,0.0046094254357650095,0,714,0.006588798846888184,0.9932834373284
CKN_N2_dann_device_family_seed42,N2_dann_device_family,neural,device_family,0.2,main,42,sealed_final_attack,all,110104,0.6963292813301086,0.8464451791033931,0.0,0.8464451791033931,0,93197,0.8747845356060142,0.12505914017807893
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,id_calib,select,51497,0.6557914590835572,0.0031652329261898753,0.0,0.0031652329261898753,0,163,0.05611068966830124,0.8908587668058505
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,ood_val,select,12205,0.6557914590835572,0.010077836952068825,0.0,0.010077836952068825,0,123,0.01745585650785851,0.9570618485589947
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,ood_stress,select,79950,0.6557914590835572,0.009143214509068168,0.0,0.009143214509068168,0,731,0.009644157383127797,0.9898106091132237
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,support_val,select,69,0.6557914590835572,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9877481045930282,0.007712118625434774
CKN_N3_dann_source_family_seed42,N3_dann_source_family,neural,source_family,0.2,main,42,same_file_query,select,67749,0.6557914590835572,0.9983025579713354,0.0,0.9983025579713354,0,67634,0.9934986074320474,0.004293678445410533
