candidate,regime,feature_set,architecture,role,support_coverage,attack_label,rows,hard_alarm_rate,conflict_review_rate
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin UDP Flooding,6,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai C&C Communication,2,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai GRE Flooding,10,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai TCP Flooding,10,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai UDP Flooding,11,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,File Download,105,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Ingress Tool Transfer,2381,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin C&C Communication,6827,0.9964845466529955,0.003515453347004541
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin ICMP Flooding,7038,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin TCP Flooding,12000,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin UDP Flooding,3292,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Mirai C&C Communication,106,0.8867924528301887,0.11320754716981132
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Mirai GRE Flooding,12000,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Mirai TCP Flooding,12000,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Mirai UDP Flooding,12000,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,seen_in_support,File Download,623,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,seen_in_support,Ingress Tool Transfer,1986,0.9964753272910373,0.003524672708962739
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,seen_in_support,Merlin C&C Communication,5213,0.9975062344139651,0.0024937655860349127
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,seen_in_support,Merlin ICMP Flooding,9886,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,seen_in_support,Merlin TCP Flooding,12596,1.0,0.0
