candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0,0.0004459308807134894,0.00048528060399746916,0.0001757242985263043
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0,0.0013969267611255239,0.0008775065413001074,0.00019798223072184468
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0,0.0030432136335970784,0.0013627571368833536,0.00022663745146652987
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.0008176614881439084,0.011856091578086671,0.0022164760808219565,0.0006992219130443987
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.00041135335252982314,0.011106540518305225,0.0017860216046847387,0.0006551340463879584
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.00041135335252982314,0.004113533525298231,0.0017855399294082173,0.0006719253402858796
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.0004088307440719542,0.008994276369582993,0.0017524631428881112,0.0006547285764822195
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0004079967360261118,0.008567931456548347,0.0019406334052907686,0.0006973682642032465
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.00012507817385866166,0.003602251407129456,0.000827513600759553,0.9966805987764046
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.0,0.9977379317899058,0.00028045455603804473
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.0,0.8858376133837974,0.0010442330854124268
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.0,0.9929026059704082,0.0013066695446535665
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.0,0.9216268145012126,0.012366019093214156
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9994483857622236,0.0005516142377763817,0.9948370845876696,0.0030676881189232474
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9800800240932754,0.01865077657789442,0.8915229598288295,0.004085067964111057
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.9917172832689122,0.006468407351897136,0.8119755918536784,0.03176653622815962
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.996866244681955,0.0026771816955484073,0.9461072608412917,0.009231784605651973
