group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.0005369127516778524,0.9975482871474621,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005268456375838925,0.9975583542615561,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005167785234899329,0.99756842137565,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005067114093959731,0.9975784884897441,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0004966442953020134,0.997588555603838,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00048657718120805364,0.997598622717932,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000476510067114094,0.9976086898320259,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00046644295302013423,0.9976187569461199,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0004563758389261745,0.9976288240602138,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0004463087248322147,0.9976388911743078,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00043624161073825497,0.9976489582884017,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0004261744966442953,0.9976590254024957,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00041610738255033557,0.9976690925165896,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0004060402684563758,0.9976791596306837,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00039597315436241606,0.9976892267447776,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0003859060402684563,0.9976992938588716,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00037583892617449666,0.9977093609729655,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0003657718120805369,0.9977194280870595,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00035570469798657715,0.9977294952011534,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0003456375838926174,0.9977395623152474,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00033557046979865765,0.9977496294293413,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000325503355704698,0.9977596965434353,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00031543624161073825,0.9977697636575292,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0003053691275167785,0.9977798307716232,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00029530201342281874,0.9977898978857171,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000285234899328859,0.9977999649998112,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00027516778523489934,0.9978100321139051,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
