evaluation_role,holdout,adapter,seed,selected_config_id,model_type,train_time,inference_time,parameter_count,hard_negative_count
consistency,chrono_late_train_early_eval,A0_lr_baseline,47,lr_fixed_guard,lr,0.5988806000095792,0.021698399999877438,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,47,lr_tail_q0.975_w8.0_a1.0,lr,1.2590970000019297,0.022700900008203462,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,47,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.04929130000527948,0.017818599997553974,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,48,lr_fixed_guard,lr,0.6037016999907792,0.01948899999842979,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,48,lr_tail_q0.975_w8.0_a1.0,lr,1.1997433000069577,0.019282599998405203,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,48,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.07928629999514669,0.0259698000154458,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,49,lr_fixed_guard,lr,0.6080960000108462,0.018706100003328174,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,49,lr_tail_q0.975_w4.0_a1.0,lr,1.256185899983393,0.031206099985865876,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,49,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06640720000723377,0.020201400009682402,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,50,lr_fixed_guard,lr,0.5765279000042938,0.017324999993434176,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,50,lr_tail_q0.975_w4.0_a1.0,lr,1.1430294000019785,0.020177600003080443,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,50,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06417589998454787,0.024955100001534447,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,51,lr_fixed_guard,lr,0.5866671999974642,0.02735759998904541,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,51,lr_tail_q0.975_w4.0_a1.0,lr,1.1966346999979578,0.0234063999960199,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,51,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.0725891999900341,0.02193670000997372,65,0
consistency,holdout_bin_2,A0_lr_baseline,42,lr_fixed_guard,lr,0.5878925000142772,0.018296900001587346,65,0
consistency,holdout_bin_2,A1_low_fpr_weighted_lr,42,lr_tail_q0.975_w8.0_a1.0,lr,1.1381216000008862,0.0217955999833066,65,50
consistency,holdout_bin_2,A2_linear_svm_margin,42,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06359279999742284,0.016406100010499358,65,0
consistency,holdout_bin_2,A0_lr_baseline,43,lr_fixed_guard,lr,0.5663958999793977,0.01943710001069121,65,0
consistency,holdout_bin_2,A1_low_fpr_weighted_lr,43,lr_tail_q0.975_w4.0_a1.0,lr,1.2739433000097051,0.02084189999732189,65,50
consistency,holdout_bin_2,A2_linear_svm_margin,43,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07565380001324229,0.013885100022889674,65,0
consistency,holdout_bin_2,A0_lr_baseline,44,lr_fixed_guard,lr,0.5538292999844998,0.017234300001291558,65,0
consistency,holdout_bin_2,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,1.224914999998873,0.02254269999684766,65,50
consistency,holdout_bin_2,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06036679999670014,0.015351699985330924,65,0
consistency,holdout_bin_2,A0_lr_baseline,45,lr_fixed_guard,lr,0.6495729000016581,0.03667370000039227,65,0
consistency,holdout_bin_2,A1_low_fpr_weighted_lr,45,lr_tail_q0.975_w4.0_a1.0,lr,1.200137400010135,0.022146300005260855,65,50
consistency,holdout_bin_2,A2_linear_svm_margin,45,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.083275799988769,0.018765299988444895,65,0
consistency,holdout_bin_2,A0_lr_baseline,46,lr_fixed_guard,lr,0.5627482999989297,0.0226461999991443,65,0
consistency,holdout_bin_2,A1_low_fpr_weighted_lr,46,lr_tail_q0.975_w8.0_a1.0,lr,1.1871454999782145,0.018830699991667643,65,50
